,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
0,,,Female,,,Adanel,Men,,Belemir,"Adanel married Belemir of the House of Bëor; he was a great-grandson of Bëor the Old. Adanel was the mother of five children, and her fifth and last child was a son: Beren.[1] His daughter, Emeldir ""the Man-hearted"", named her son after her father; this child was the renowned Beren Erchamion (Beren the One-handed). Thus, Adanel was the great-grandmother of Beren, son of Emeldir, her granddaughter.
The Wise of the people of Marach were the only Men to preserve the tale of their original sin, when, soon after their awakening, the Men chose to worship Melkor instead of Eru. Adanel told this tale (called the Tale of Adanel in Morgoth's Ring) to Andreth of the House of Bëor.
Andreth was a very distant niece of Adanel's husband Belemir through the line of Baran, the eldest son of Bëor, and Belemir through the line of his grandfather Belen, who was the youngest son of Bëor. In addition, Andreth's nephew Barahir married Adanel's granddaughter Emeldir.[2]",
1,"Before ,TA 1944","Late ,Third Age",Male,,,Adrahil I,Men,,,"Adrahil was born sometime before TA 1944 and was of traceable Númenórean lineage. He served King Ondoher of Gondor as a general during the Wars of the Wainriders in the year 1944.[3]
Adrahil was descended from a Númenórean noble house that settled in Belfalas in the Second Age.[4] Because of this, it is assumed he was an ancestor of Imrazôr, Galador and the Princes of Dol Amroth.[5]
When King Ondoher led his army to face the Wainriders who threatened Gondor, Adrahil commanded the army's left wing. The soldiers of the right wing were under the command of the King's nephew Minohtar, while the centre was commanded by the king himself and his heir Artamir.
Ondoher's enterprise came to a devastating end: he was surprised by the Wainriders near the Black Gate, and his forces were overwhelmed. Adrahil's soldiers, however, were shielded from the attack and survived it. Ondoher and Artamir had both been killed, and Minohtar took charge, sending orders to Adrahil to withdraw with both his own command of the left wing and those at the rear of the right wing who had not yet been engaged.
Adrahil withdrew south into Ithilien to form a defensive line from Cair Andros to the Ephel Dúath. With these forces, he was to cover the approaches to Minas Anor. Adrahil at once messaged Eärnil to inform him of the disaster and of the position of the retreating Northern Army.
Adrahil's fate is uncertain; the Wainriders overwhelmed Minohtar's rearguard defence, but whether they penetrated to Adrahil's position is unknown. If he survived the initial assault, it seems likely that Adrahil would have joined with Eärnil in his counter-attack, seeing the ultimate defeat of the Wainriders at the Battle of the Camp.[6]",
2,TA 2917,TA 3010,Male,,,Adrahil II,Men,,Unnamed wife,"Adrahil was the only son of Angelimir. He succeeded his father in TA 2977. He was the father of Ivriniel, Finduilas, and the famed Prince Imrahil. He reigned for thirty-three years, dying in TA 3010.[1]",
3,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,Aegnor,Elves,,"Loved ,Andreth but remained unmarried","Aegnor first meets Andreth, by Szilvia Szarvas
Aegnor was born in Tirion sometime during the Noontide of Valinor.[3] When Fëanor spoke in Tirion, Aegnor was moved by his words as was his brother but neither spoke against their father; however, he and his brothers followed the host of the Ñoldor to Middle-earth.[4] When the Ñoldor returned to Middle-earth, he together with Angrod held the northern slopes of the highlands of Dorthonion against Morgoth throughout the time of the Siege of Angband.[5]
Aegnor never married but he was in love with the Bëorian wise-woman Andreth, and she returned his feelings. They spent much time discussing Men and Elves and their fates in the world, which are fully explained in the Athrabeth Finrod ah Andreth. However, it was wartime and he did not make his intentions towards her clear enough. He was killed along with his brother soon after when Morgoth broke the Siege at the start of Dagor Bragollach in FA 455.[2]
Aegnor with his love, Andreth, by Marya Filatova",
4,"Mid ,First Age",FA 495,Female,,,Aerin,Men,,Brodda,"Aerin was the daughter of Indor, who was closely related to Húrin Thalion of the House of Hador. When the treacherous Easterlings invaded Hithlum as payment for fighting on Morgoth's side in the Nírnaeth Arnoediad, Aerin was cruelly seized by Brodda. He took her as his wife against her will, hoping to produce an heir to legitimize his rule as Lord of Hithlum.[1] Aerin secretly helped Húrin's wife Morwen and sheltered Sador, the former servant of Húrin and childhood friend of Túrin.
When Túrin returned to Dor-lómin, he learned from Aerin that his mother had left Hithlum. He became angry and in his rage killed Brodda. While being hunted to the death, one of Túrin's followers saw the Hall of Brodda on fire and guessed that Aerin had kindled it. She burned to death in the fire. Afterwards, the remainder of the House of Hador in Dor-lómin were now at risk of being persecuted even more cruelly than they were before.[2]",
5,TA 2827,TA 2932,Male,,,Aglahad,Men,,Unnamed wife,,
6,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Ailinel,Men,,Orchaldor,"Ailinel was born between the years SA 700 and SA 750. Her brother Aldarion became Tar-Aldarion, and her younger sister was Almiel. She married a man named Orchaldor, by whom she had a son, Soronto.[1]",
7,TA 1330,TA 1540,Male,,,Aldamir,Men,Gondor,Unnamed wife,"Aldamir was the second son of King Eldacar of Gondor and succeeded him in TA 1490, because his elder brother Ornendil was executed by Castamir during the Kin-strife. Aldamir's years as king were marked by constant warfare with the Corsairs of Umbar (led by the sons of Castamir) and the Haradrim. He was slain in battle with the Men of Harad and Corsairs of Umbar in TA 1540 and was succeeded by his son Vinyarion.[2][3]",
8,TA 2544,TA 2645,Male,,,Aldor,Men,Rohan,Unnamed wife,"Aldor was born in TA 2544 and was the second son of King Brego. He became his father's heir after his elder brother, Baldor, was lost attempting to pass through the Paths of the Dead. King Brego died of grief shortly afterwards in TA 2570, and Aldor succeeded him at the age of twenty-six.
His rule was considered a golden age for Rohan. The Wildmen of Dunland were driven back over the Gap of Rohan, and the numbers of the Rohirrim increased. Under his rule, Dunharrow was established as a refuge and the valleys of Rohan were colonized.
Aldor had four children: three daughters and one son. His rule for seventy-five years made him known as ""Aldor the Old"". In TA 2645, he died, at the age of 101. His son Fréa succeeded him as King.[1]",
9,"Late ,First Age",FA 489,Male,,,Algund,Men,,None known,"Algund was the oldest of an outlaw band and had been a man of Dor-lómin, living under Húrin when Húrin was Lord of Dor-lómin. After the Nírnaeth Arnoediad, he was forced to flee his homeland, traveling down the Vales of Anduin. Apparently destitute, he became part of a group of outlaws that raided others for their needs in Brethil and near the borders of Doriath. When Túrin joined the group, Algund eventually recognized him as the son of Húrin.[1] After Túrin slew Forweg, the original leader of the group, it was Algund who supported him as their new captain, figuring that he would be a better leader and lead them to better fortunes.[1][2]
Later, when the group captured Beleg, Androg argued that he should soon be killed for spying, but Algund advised to wait until Túrin returned.[2] He was most likely slain in the Sack of Amon Rûdh.[3]
Gaurwaith

 


Beleg • Algund • Andróg • Andvír • Forweg • Orleg • Túrin • Ulrad
",
